date	cad_us	aud_us	cny_us	eur_us	jpy_us
19901022	0.4965372209	0.4807568954	0.9997687482	0.6967926243	0.2416233788
19901023	0.5018358484	0.4799550994	0.9997687482	0.6975717439	0.2224519477
19901024	0.5084237979	0.4855676716	0.9997687482	0.7089988313	0.2375568504
19901025	0.5117355703	0.4876523412	0.9997687482	0.7034151409	0.2221889854
19901026	0.5144252789	0.4844451572	0.9997687482	0.700558369	0.2228904916
19901029	0.5156937438	0.4871712636	0.9997687482	0.6997792494	0.2186945379
19901030	0.5093688029	0.4900577293	0.9997687482	0.6979613037	0.2180852419
19901031	0.5109459715	0.4879730597	0.9997687482	0.7021166082	0.2062924182
19901101	0.514108435	0.4882937781	0.9997687482	0.7099078042	0.2023037086
19901102	0.5136333731	0.4815586915	0.9997687482	0.7131541358	0.2273832576
19901105	0.5227015993	0.4882937781	0.9997687482	0.7302947669	0.2380072581
19901106	0.5163286306	0.494547787	0.9997687482	0.7325022724	0.2224519477
19901107	0.5096840204	0.4791533034	0.9997687482	0.7339306584	0.2179982537
19901108	0.5070081093	0.4799550994	0.9997687482	0.7283469679	0.2054413452
19901109	0.5082663915	0.4834830019	0.9997687482	0.7267887287	0.2094527948
19901112	0.512367737	0.4791533034	0.9997687482	0.7326321257	0.2220137455
19901113	0.5112617298	0.4671263631	0.9997687482	0.7334112453	0.2099669875
19901114	0.5174407339	0.4690506735	0.9997687482	0.7330216855	0.2156546692
19901115	0.5174407339	0.4700128287	0.9997687482	0.7341903649	0.2105674806
19901116	0.5156937438	0.4579858884	0.8949539075	0.7417218543	0.2120285249
19901119	0.5160111326	0.4579858884	0.7901390667	0.7417218543	0.2179112791
19901120	0.5227015993	0.4623155869	0.7901390667	0.7393844955	0.2169554483
19901121	0.5236613404	0.4575048108	0.7901390667	0.7344500714	0.232447245
19901122	0.5230214026	0.4653624118	0.7901390667	0.7379561096	0.232715029
19901123	0.5214234892	0.4591084028	0.7901390667	0.7291260875	0.232447245
19901126	0.519987721	0.4616741501	0.7901390667	0.7218543046	0.2156546692
19901127	0.5130003378	0.4645606158	0.7901390667	0.7361381639	0.2215758848
19901128	0.5147422317	0.466324567	0.7901390667	0.73081418	0.2043369026
19901129	0.5144252789	0.4696921103	0.7901390667	0.7275678483	0.1810723685
19901130	0.5133168011	0.4728992944	0.7901390667	0.7060122062	0.185974883
19901203	0.5114196495	0.4826812059	0.7901390667	0.693676146	0.1682124395
19901204	0.5160111326	0.478030789	0.7901390667	0.704453967	0.1827016233
19901205	0.5169639543	0.464720975	0.7901390667	0.704453967	0.1773435931
19901206	0.5177587238	0.4687299551	0.7901390667	0.716660174	0.1895157424
19901207	0.523981475	0.4708146248	0.7901390667	0.7297753539	0.2013743235
19901210	0.5257441935	0.4619948685	0.7901390667	0.7363978704	0.1895157424
19901211	0.5211042371	0.4627966645	0.7901390667	0.7282171147	0.1872074543
19901212	0.5203065882	0.4597498396	0.7901390667	0.7265290222	0.1943284572
19901213	0.5203065882	0.4494868505	0.7901390667	0.7266588755	0.1886077491
19901214	0.523981475	0.4605516357	0.7901390667	0.7228931308	0.1827016233
19901217	0.5244618843	0.459268762	0.7901390667	0.7144526685	0.1810723685
19901218	0.5281533082	0.4669660038	0.7901390667	0.7156213479	0.185974883
19901219	0.5233413163	0.4682488775	0.7901390667	0.7218543046	0.1738008845
19901220	0.5220623238	0.4703335471	0.7901390667	0.6966627711	0.159937796
19901221	0.5214234892	0.4719371392	0.7901390667	0.6664069601	0.1618963216
19901224	0.5211042371	0.4746632457	0.7901390667	0.6578366446	0.1587661382
19901225	0.5212638493	0.4727389352	0.7901390667	0.6578366446	0.1591564034
19901226	0.5217428514	0.4714560616	0.7901390667	0.6578366446	0.1563528864
19901227	0.5187133504	0.4627966645	0.7901390667	0.6664069601	0.1552666263
19901228	0.5217428514	0.4690506735	0.7901390667	0.6883521621	0.1674188264
19901231	0.5217428514	0.4700128287	0.7901390667	0.7008180756	0.1611120451
19910102	0.5287967953	0.473380372	0.7901390667	0.714192962	0.1716384408
19910103	0.5325055108	0.4794740218	0.7901390667	0.714712375	0.1822938503
19910104	0.5349322201	0.4810776139	0.7901390667	0.7014673419	0.1682124395
19910107	0.531536594	0.4783515074	0.7901390667	0.6741981561	0.1571301541
19910108	0.5337989695	0.478030789	0.7901390667	0.6699129983	0.1546469069
19910109	0.5337989695	0.4720974984	0.7901390667	0.6962732113	0.1524835984
19910110	0.5328287072	0.4724182168	0.7901390667	0.6827684716	0.1709993854
19910111	0.5337989695	0.4730596536	0.7901390667	0.6738085963	0.1746040018
19910114	0.5393162667	0.4781911482	0.7901390667	0.6687443189	0.1652819387
19910115	0.5424137101	0.4863694676	0.7901390667	0.6622516556	0.160328924
19910116	0.53720286	0.4948685055	0.7901390667	0.660953123	0.1521752772
19910117	0.5220623238	0.479634381	0.7901390667	0.6948448253	0.1872074543
19910118	0.5230214026	0.4825208467	0.7901390667	0.7096480976	0.1876189323
19910121	0.5227015993	0.4838037203	0.7901390667	0.7192572393	0.186796287
19910122	0.5236613404	0.4855676716	0.7901390667	0.7158810544	0.18638543
19910123	0.5257441935	0.4892559333	0.7901390667	0.7231528373	0.1915849972
19910124	0.5217428514	0.4809172547	0.7901390667	0.7256200493	0.1872897251
19910125	0.5144252789	0.4778704298	0.7901390667	0.7215945981	0.18638543
19910128	0.5174407339	0.4868505452	0.7901390667	0.7228931308	0.1933292442
19910129	0.5196689637	0.4876523412	0.7901390667	0.7273081418	0.1895157424
19910130	0.5206255652	0.4906991661	0.7901390667	0.7228931308	0.1976723744
19910131	0.5166462378	0.4863694676	0.7901390667	0.7348396312	0.1967507653
19910201	0.5217428514	0.486690186	0.7901390667	0.7440592131	0.1938286229
19910204	0.5214234892	0.486690186	0.7901390667	0.7456174523	0.2019655693
19910205	0.523981475	0.4777100706	0.7901390667	0.7534086482	0.2109109109
19910206	0.5251028173	0.4828415651	0.7901390667	0.7643163226	0.2232415732
19910207	0.5233413163	0.4846055164	0.7901390667	0.7676925075	0.2206137909
19910208	0.5241415838	0.4831622835	0.7901390667	0.7547071809	0.2268528351
19910211	0.5284749961	0.4823604875	0.7901390667	0.7678223607	0.227117984
19910212	0.5318594543	0.48588839	0.7901390667	0.7599013115	0.2188687442
19910213	0.531536594	0.4940667094	0.7901390667	0.7560057135	0.2107391693
19910214	0.5337989695	0.4927838358	0.7901390667	0.7425009739	0.2096241395
19910215	0.5325055108	0.4961513791	0.7901390667	0.7326321257	0.20306528
19910218	0.5321824265	0.4972738935	0.7901390667	0.726918582	0.2047614274
19910219	0.5318594543	0.4956703015	0.7901390667	0.7201662122	0.1934956532
19910220	0.5328287072	0.4940667094	0.7901390667	0.7131541358	0.1951625285
19910221	0.5386654784	0.4963117383	0.7901390667	0.720555772	0.1964996854
19910222	0.5334754364	0.4895766517	0.7901390667	0.7036748474	0.1891853882
19910225	0.5336371889	0.4873316228	0.7901390667	0.6826386184	0.1775051798
19910226	0.5339607781	0.4892559333	0.7901390667	0.6778340475	0.1832730212
19910227	0.5349322201	0.4903784477	0.7901390667	0.6806908194	0.1884428217
19910228	0.537690145	0.4924631174	0.7901390667	0.67315933	0.1820493335
19910301	0.5337989695	0.491340603	0.7901390667	0.6612128295	0.1690072313
19910304	0.5284749961	0.478030789	0.7901390667	0.6641994546	0.1625245765
19910305	0.52542345	0.4708146248	0.7901390667	0.6625113622	0.1560422987
19910306	0.5233413163	0.4682488775	0.7901390667	0.659524737	0.1608769876
19910307	0.5217428514	0.4607119949	0.7901390667	0.6503051552	0.1629962548
19910308	0.518395032	0.4613534317	0.7901390667	0.6330346708	0.1526378266
19910311	0.5278317317	0.4632777421	0.7901390667	0.6166731593	0.1411190921
19910312	0.5308912093	0.4621552277	0.7901390667	0.6222568498	0.159859605
19910313	0.5308912093	0.4621552277	0.7901390667	0.6161537463	0.160328924
19910314	0.530729933	0.4645606158	0.7901390667	0.6155044799	0.1583761599
19910315	0.5278317317	0.4650416934	0.7901390667	0.593039865	0.143994088
19910318	0.5305686847	0.463919179	0.7901390667	0.5677184781	0.1432359747
19910319	0.5294407282	0.4650416934	0.7901390667	0.5365536943	0.1449812809
19910320	0.5257441935	0.4669660038	0.7901390667	0.5430463576	0.1410436478
19910321	0.5284749961	0.4703335471	0.7901390667	0.5551227113	0.1517901292
19910322	0.5244618843	0.47177678	0.7901390667	0.5510972601	0.1464274579
19910325	0.518395032	0.4645606158	0.7901390667	0.5259057265	0.1343725274
19910326	0.5214234892	0.4759461193	0.7901390667	0.5092845085	0.1369857951
19910327	0.5227015993	0.4724182168	0.7901390667	0.4962991819	0.1315501094
19910328	0.5251028173	0.4740218089	0.7901390667	0.490455785	0.1194710893
19910329	0.5233413163	0.4711353432	0.7901390667	0.4994156603	0.1228100965
19910401	0.5244618843	0.4756254009	0.7901390667	0.4994156603	0.1329593941
19910402	0.529118706	0.4745028865	0.7901390667	0.5166861447	0.1433875094
19910403	0.5281533082	0.4826812059	0.7901390667	0.5235683677	0.1474956212
19910404	0.5281533082	0.4905388069	0.7901390667	0.5261654331	0.1583761599
19910405	0.5305686847	0.4906991661	0.7901390667	0.5225295416	0.1533324123
19910408	0.5312138457	0.4908595253	0.7901390667	0.511492014	0.1494851385
19910409	0.5336371889	0.4924631174	0.7713743406	0.5287624984	0.1679742319
19910410	0.5349322201	0.4927838358	0.7713743406	0.51928321	0.1446773308
19910411	0.5365535418	0.48588839	0.7713743406	0.5316192702	0.1579864683
19910412	0.5355804108	0.4879730597	0.7723394025	0.5196727698	0.1560422987
19910415	0.5411082734	0.4807568954	0.7723394025	0.5287624984	0.172278258
19910416	0.5389908159	0.4828415651	0.7723394025	0.5326580964	0.1681330252
19910417	0.5373652601	0.4813983323	0.7723394025	0.5307102974	0.1573635571
19910418	0.5346082937	0.4785118666	0.7700026191	0.5131801065	0.1445254219
19910419	0.529118706	0.4688903143	0.7667109201	0.4717569147	0.1403651392
19910422	0.5230214026	0.4660038486	0.7628784255	0.4450071419	0.1336282923
19910423	0.5267070895	0.4759461193	0.7646085568	0.4631865991	0.1449052768
19910424	0.5305686847	0.4767479153	0.7646085568	0.4534476042	0.1441458426
19910425	0.5321824265	0.4778704298	0.7646085568	0.4553954032	0.1452093593
19910426	0.5337989695	0.4812379731	0.7646085568	0.4533177509	0.1407419794
19910429	0.5342844797	0.4841244387	0.7646085568	0.4540968705	0.1521752772
19910430	0.5328287072	0.4868505452	0.765143086	0.482145176	0.1579085643
19910501	0.5349322201	0.4794740218	0.7656776152	0.4898065186	0.1422520688
19910502	0.5386654784	0.4794740218	0.7656776152	0.4716270614	0.1420252766
19910503	0.5355804108	0.4777100706	0.7656776152	0.4507206856	0.1366116645
19910506	0.5362290521	0.4826812059	0.7585481635	0.4676016102	0.1414209788
19910507	0.5352562592	0.4841244387	0.7585481635	0.4813660564	0.1441458426
19910508	0.5342844797	0.4882937781	0.7585481635	0.4842228282	0.1407419794
19910509	0.5328287072	0.4884541373	0.7562441002	0.4839631217	0.1432359747
19910510	0.5355804108	0.4881334189	0.7562441002	0.4772107519	0.1381098058
19910513	0.5370404881	0.478832585	0.7562441002	0.4852616543	0.1329593941
19910514	0.5352562592	0.4834830019	0.7562441002	0.5021425789	0.1436907107
19910515	0.5386654784	0.486690186	0.7585481635	0.510972601	0.1492551939
19910516	0.538015143	0.4878127004	0.7585481635	0.5013634593	0.1467324255
19910517	0.5383402541	0.48588839	0.7585481635	0.4709777951	0.1396122754
19910520	0.5386654784	0.4849262348	0.7537632834	0.4703285288	0.1388604984
19910521	0.5393162667	0.4749839641	0.7537632834	0.4825347357	0.1487190475
